0 Ensemble_score =  1.803 z-score -2.626 Chi = 1.803 c1 = 1.045 c2 = 0.491
 875 Int350_7_B10880001_MSE.pdb.dat    (0.402) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.053) [ 0.989, 0.124, 0.054 ] 
1668 Basic320_1_B10280001_MSE.pdb.dat    (0.214) [ 0.002, 0.214, 1.000 ] 
39 Ensemble_score =  1.889 z-score -0.242 Chi = 1.889 c1 = 1.045 c2 = 0.587
 769 Int325_5_B10890001_MSE.pdb.dat    (0.263) [ 0.989, 0.304, 0.028 ] 
 784 Int350_0_B10570001_MSE.pdb.dat    (0.109) [ 0.322, 0.207, 0.051 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.352) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.149) [ 0.989, 0.124, 0.054 ] 
1873 Basic320_1_B10200001_MSE.pdb.dat    (0.127) [ 0.022, 0.115, 0.012 ] 
40 Ensemble_score =  1.904 z-score 0.184 Chi = 1.904 c1 = 1.045 c2 = 0.669
 769 Int325_5_B10890001_MSE.pdb.dat    (0.315) [ 0.989, 0.304, 0.028 ] 
 784 Int350_0_B10570001_MSE.pdb.dat    (0.165) [ 0.322, 0.207, 0.051 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.277) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.172) [ 0.989, 0.124, 0.054 ] 
1575 Basic300_8_B10300001_MSE.pdb.dat    (0.072) [ 0.033, 0.078, 0.009 ] 
41 Ensemble_score =  1.906 z-score 0.238 Chi = 1.906 c1 = 1.045 c2 = 0.573
 769 Int325_5_B10890001_MSE.pdb.dat    (0.293) [ 0.989, 0.304, 0.028 ] 
 784 Int350_0_B10570001_MSE.pdb.dat    (0.203) [ 0.322, 0.207, 0.051 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.313) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.059) [ 0.989, 0.124, 0.054 ] 
1566 Basic300_9_B10650001_MSE.pdb.dat    (0.132) [ 0.033, 0.139, 0.015 ] 
42 Ensemble_score =  1.908 z-score 0.293 Chi = 1.908 c1 = 1.045 c2 = 0.597
 769 Int325_5_B10890001_MSE.pdb.dat    (0.295) [ 0.989, 0.304, 0.028 ] 
 784 Int350_0_B10570001_MSE.pdb.dat    (0.138) [ 0.322, 0.207, 0.051 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.311) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.168) [ 0.989, 0.124, 0.054 ] 
1969 Int300_7_B10170001_MSE.pdb.dat    (0.088) [ 0.022, 0.082, 0.006 ] 
43 Ensemble_score =  1.911 z-score 0.384 Chi = 1.911 c1 = 1.046 c2 = 0.650
 769 Int325_5_B10890001_MSE.pdb.dat    (0.329) [ 0.989, 0.304, 0.028 ] 
 784 Int350_0_B10570001_MSE.pdb.dat    (0.222) [ 0.322, 0.207, 0.051 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.278) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.116) [ 0.989, 0.124, 0.054 ] 
2639 Int300_5_B10530001_MSE.pdb.dat    (0.054) [ 0.022, 0.053, 0.001 ] 
44 Ensemble_score =  1.912 z-score 0.412 Chi = 1.912 c1 = 1.045 c2 = 0.611
 769 Int325_5_B10890001_MSE.pdb.dat    (0.312) [ 0.989, 0.304, 0.028 ] 
 784 Int350_0_B10570001_MSE.pdb.dat    (0.203) [ 0.322, 0.207, 0.051 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.277) [ 0.944, 0.298, 0.028 ] 
